epoch,input_type,metric_name,layer,value
0,train,loss,,4.72700309753418
0,test,loss,,4.727819442749023
0,train,accuracy,,0.008167375810444355
0,test,accuracy,,0.010180109180510044
0,general,weights_l2,layers.0.weight,8.174010276794434
0,general,weights_l2,layers.1.weight,8.17453670501709
0,general,weights_l2,layers.2.weight,6.123414516448975
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.2202155888080597
1,test,loss,,5.302724361419678
1,train,accuracy,,0.9996643662452698
1,test,accuracy,,0.06029757112264633
1,general,weights_l2,layers.0.weight,46.91404724121094
1,general,weights_l2,layers.1.weight,48.648529052734375
1,general,weights_l2,layers.2.weight,40.90940856933594
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.0023268666118383408
2,test,loss,,3.7606241703033447
2,train,accuracy,,1.0
2,test,accuracy,,0.26598799228668213
2,general,weights_l2,layers.0.weight,53.79371643066406
2,general,weights_l2,layers.1.weight,57.05768966674805
2,general,weights_l2,layers.2.weight,47.985809326171875
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,0.00010947525879601017
3,test,loss,,2.905982732772827
3,train,accuracy,,1.0
3,test,accuracy,,0.4171234369277954
3,general,weights_l2,layers.0.weight,57.069915771484375
3,general,weights_l2,layers.1.weight,61.168094635009766
3,general,weights_l2,layers.2.weight,51.41980743408203
3,train,zero_terms,,0.0003356455582904453
3,train,softmax_collapse,,0.0004475274181459099
4,train,loss,,6.1900414038973395e-06
4,test,loss,,2.2664449214935303
4,train,accuracy,,1.0
4,test,accuracy,,0.5348472595214844
4,general,weights_l2,layers.0.weight,59.65756607055664
4,general,weights_l2,layers.1.weight,64.45208740234375
4,general,weights_l2,layers.2.weight,54.152252197265625
4,train,zero_terms,,0.006377265607518461
4,train,softmax_collapse,,0.0066010295413434505
5,train,loss,,3.63656283752789e-07
5,test,loss,,1.7713532447814941
5,train,accuracy,,1.0
5,test,accuracy,,0.634299099445343
5,general,weights_l2,layers.0.weight,61.83946228027344
5,general,weights_l2,layers.1.weight,67.24979400634766
5,general,weights_l2,layers.2.weight,56.47712326049805
5,train,zero_terms,,0.08749160886104274
5,train,softmax_collapse,,0.08827478438615799
6,train,loss,,5.186897311659777e-08
6,test,loss,,1.5407756567001343
6,train,accuracy,,1.0
6,test,accuracy,,0.6872878670692444
6,general,weights_l2,layers.0.weight,64.90190124511719
6,general,weights_l2,layers.1.weight,71.36546325683594
6,general,weights_l2,layers.2.weight,59.685585021972656
6,train,zero_terms,,0.6055045871559633
6,train,softmax_collapse,,0.6112105846405029
7,train,loss,,1.4764451350401941e-07
7,test,loss,,2.1820852756500244
7,train,accuracy,,1.0
7,test,accuracy,,0.6502218246459961
7,general,weights_l2,layers.0.weight,93.93684387207031
7,general,weights_l2,layers.1.weight,102.32907104492188
7,general,weights_l2,layers.2.weight,71.91171264648438
7,train,zero_terms,,0.42246587603490715
7,train,softmax_collapse,,0.4219064712524414
8,train,loss,,1.4262961656186235e-07
8,test,loss,,1.9406427145004272
8,train,accuracy,,1.0
8,test,accuracy,,0.6862437725067139
8,general,weights_l2,layers.0.weight,100.72944641113281
8,general,weights_l2,layers.1.weight,108.48772430419922
8,general,weights_l2,layers.2.weight,72.7770004272461
8,train,zero_terms,,0.6227343924815395
8,train,softmax_collapse,,0.6225106120109558
9,train,loss,,8.53857429206073e-08
9,test,loss,,1.9417768716812134
9,train,accuracy,,1.0
9,test,accuracy,,0.6857216954231262
9,general,weights_l2,layers.0.weight,101.0572509765625
9,general,weights_l2,layers.1.weight,108.54362487792969
9,general,weights_l2,layers.2.weight,72.78598022460938
9,train,zero_terms,,0.6354889236965764
9,train,softmax_collapse,,0.6354889273643494
10,train,loss,,1.1632839402864192e-07
10,test,loss,,2.084425210952759
10,train,accuracy,,1.0
10,test,accuracy,,0.6724092960357666
10,general,weights_l2,layers.0.weight,104.50035858154297
10,general,weights_l2,layers.1.weight,109.17904663085938
10,general,weights_l2,layers.2.weight,72.89637756347656
10,train,zero_terms,,0.49843365406131124
10,train,softmax_collapse,,0.5042515397071838
11,train,loss,,6.839622415100166e-07
11,test,loss,,2.134544849395752
11,train,accuracy,,1.0
11,test,accuracy,,0.6713651418685913
11,general,weights_l2,layers.0.weight,110.31989288330078
11,general,weights_l2,layers.1.weight,110.49533081054688
11,general,weights_l2,layers.2.weight,73.11538696289062
11,train,zero_terms,,0.5559409263817409
11,train,softmax_collapse,,0.5551577806472778
12,train,loss,,1.4932496128494677e-07
12,test,loss,,1.9974333047866821
12,train,accuracy,,1.0
12,test,accuracy,,0.6867658495903015
12,general,weights_l2,layers.0.weight,110.33891296386719
12,general,weights_l2,layers.1.weight,110.49915313720703
12,general,weights_l2,layers.2.weight,73.11651611328125
12,train,zero_terms,,0.6149026627880958
12,train,softmax_collapse,,0.6162452697753906
13,train,loss,,9.186769744928824e-08
13,test,loss,,1.9779303073883057
13,train,accuracy,,1.0
13,test,accuracy,,0.6883320212364197
13,general,weights_l2,layers.0.weight,110.58574676513672
13,general,weights_l2,layers.1.weight,110.55011749267578
13,general,weights_l2,layers.2.weight,73.12528991699219
13,train,zero_terms,,0.6303423584694563
13,train,softmax_collapse,,0.6332513093948364
14,train,loss,,1.035112120462145e-07
14,test,loss,,2.089891195297241
14,train,accuracy,,1.0
14,test,accuracy,,0.6778908371925354
14,general,weights_l2,layers.0.weight,113.33917236328125
14,general,weights_l2,layers.1.weight,111.1362075805664
14,general,weights_l2,layers.2.weight,73.20991516113281
14,train,zero_terms,,0.5184605057059745
14,train,softmax_collapse,,0.5252853035926819
15,train,loss,,5.222888717071328e-07
15,test,loss,,2.090367555618286
15,train,accuracy,,1.0
15,test,accuracy,,0.6825893521308899
15,general,weights_l2,layers.0.weight,114.96197509765625
15,general,weights_l2,layers.1.weight,111.49614715576172
15,general,weights_l2,layers.2.weight,73.25776672363281
15,train,zero_terms,,0.5744014320877153
15,train,softmax_collapse,,0.5726113319396973
16,train,loss,,1.1240718578164888e-07
16,test,loss,,1.9605658054351807
16,train,accuracy,,1.0
16,test,accuracy,,0.6974679827690125
16,general,weights_l2,layers.0.weight,114.98834991455078
16,general,weights_l2,layers.1.weight,111.50208282470703
16,general,weights_l2,layers.2.weight,73.25932312011719
16,train,zero_terms,,0.662564332065339
16,train,softmax_collapse,,0.6611098647117615
17,train,loss,,6.716691558494858e-08
17,test,loss,,1.938296914100647
17,train,accuracy,,1.0
17,test,accuracy,,0.702949583530426
17,general,weights_l2,layers.0.weight,115.35159301757812
17,general,weights_l2,layers.1.weight,111.5870590209961
17,general,weights_l2,layers.2.weight,73.26872253417969
17,train,zero_terms,,0.6875139852315955
17,train,softmax_collapse,,0.6849406957626343
18,train,loss,,1.019240656319198e-07
18,test,loss,,2.1157066822052
18,train,accuracy,,1.0
18,test,accuracy,,0.6791960000991821
18,general,weights_l2,layers.0.weight,119.4419174194336
18,general,weights_l2,layers.1.weight,112.59107208251953
18,general,weights_l2,layers.2.weight,73.36502075195312
18,train,zero_terms,,0.5245021257552025
18,train,softmax_collapse,,0.5315507054328918
19,train,loss,,1.0321575700800167e-06
19,test,loss,,2.224134683609009
19,train,accuracy,,1.0
19,test,accuracy,,0.672670304775238
19,general,weights_l2,layers.0.weight,124.62767791748047
19,general,weights_l2,layers.1.weight,114.04885864257812
19,general,weights_l2,layers.2.weight,73.49121856689453
19,train,zero_terms,,0.5406131125531439
19,train,softmax_collapse,,0.5415081977844238
20,train,loss,,1.6721033091471327e-07
20,test,loss,,2.044727325439453
20,train,accuracy,,1.0
20,test,accuracy,,0.6919863820075989
20,general,weights_l2,layers.0.weight,124.6406021118164
20,general,weights_l2,layers.1.weight,114.05227661132812
20,general,weights_l2,layers.2.weight,73.49164581298828
20,train,zero_terms,,0.6303423584694563
20,train,softmax_collapse,,0.6303423643112183
21,train,loss,,7.588954531456693e-08
21,test,loss,,1.9895981550216675
21,train,accuracy,,1.0
21,test,accuracy,,0.6987731456756592
21,general,weights_l2,layers.0.weight,124.81623840332031
21,general,weights_l2,layers.1.weight,114.09042358398438
21,general,weights_l2,layers.2.weight,73.49507141113281
21,train,zero_terms,,0.687402103378832
21,train,softmax_collapse,,0.687737762928009
22,train,loss,,8.049093480622105e-08
22,test,loss,,2.0953662395477295
22,train,accuracy,,1.0
22,test,accuracy,,0.6872878670692444
22,general,weights_l2,layers.0.weight,127.0111312866211
22,general,weights_l2,layers.1.weight,114.5650634765625
22,general,weights_l2,layers.2.weight,73.53254699707031
22,train,zero_terms,,0.5840232714253748
22,train,softmax_collapse,,0.5923025608062744
23,train,loss,,2.4347484668396646e-06
23,test,loss,,2.3636744022369385
23,train,accuracy,,1.0
23,test,accuracy,,0.6653615236282349
23,general,weights_l2,layers.0.weight,132.54261779785156
23,general,weights_l2,layers.1.weight,115.89026641845703
23,general,weights_l2,layers.2.weight,73.6429443359375
23,train,zero_terms,,0.5252852987245469
23,train,softmax_collapse,,0.5255090594291687
24,train,loss,,2.8456537393140025e-07
24,test,loss,,2.121306896209717
24,train,accuracy,,1.0
24,test,accuracy,,0.6875489354133606
24,general,weights_l2,layers.0.weight,132.54737854003906
24,general,weights_l2,layers.1.weight,115.89134216308594
24,general,weights_l2,layers.2.weight,73.64336395263672
24,train,zero_terms,,0.6274334302976057
24,train,softmax_collapse,,0.6283285021781921
25,train,loss,,7.442242377919683e-08
25,test,loss,,1.9958186149597168
25,train,accuracy,,1.0
25,test,accuracy,,0.6995562314987183
25,general,weights_l2,layers.0.weight,132.6079559326172
25,general,weights_l2,layers.1.weight,115.90238189697266
25,general,weights_l2,layers.2.weight,73.64456939697266
25,train,zero_terms,,0.7277914522264489
25,train,softmax_collapse,,0.7274557948112488
26,train,loss,,5.505659572691002e-08
26,test,loss,,2.0198092460632324
26,train,accuracy,,1.0
26,test,accuracy,,0.6956408023834229
26,general,weights_l2,layers.0.weight,133.43280029296875
26,general,weights_l2,layers.1.weight,116.05230712890625
26,general,weights_l2,layers.2.weight,73.65624237060547
26,train,zero_terms,,0.7114567017229805
26,train,softmax_collapse,,0.7122398614883423
27,train,loss,,1.1204710403944773e-07
27,test,loss,,2.2855618000030518
27,train,accuracy,,1.0
27,test,accuracy,,0.6677107810974121
27,general,weights_l2,layers.0.weight,140.96681213378906
27,general,weights_l2,layers.1.weight,117.55970764160156
27,general,weights_l2,layers.2.weight,73.7697525024414
27,train,zero_terms,,0.4803087939136272
27,train,softmax_collapse,,0.49037817120552063
28,train,loss,,1.2145015944042825e-06
28,test,loss,,2.3068525791168213
28,train,accuracy,,1.0
28,test,accuracy,,0.6705820560455322
28,general,weights_l2,layers.0.weight,143.38934326171875
28,general,weights_l2,layers.1.weight,118.1474380493164
28,general,weights_l2,layers.2.weight,73.80107116699219
28,train,zero_terms,,0.5485567240993511
28,train,softmax_collapse,,0.5506824851036072
29,train,loss,,1.7896050508170447e-07
29,test,loss,,2.1001999378204346
29,train,accuracy,,1.0
29,test,accuracy,,0.6896371245384216
29,general,weights_l2,layers.0.weight,143.39801025390625
29,general,weights_l2,layers.1.weight,118.14872741699219
29,general,weights_l2,layers.2.weight,73.80048370361328
29,train,zero_terms,,0.6425374804206758
29,train,softmax_collapse,,0.6423137187957764
30,train,loss,,7.002110891107804e-08
30,test,loss,,2.025261878967285
30,train,accuracy,,1.0
30,test,accuracy,,0.7011224031448364
30,general,weights_l2,layers.0.weight,143.52716064453125
30,general,weights_l2,layers.1.weight,118.16854858398438
30,general,weights_l2,layers.2.weight,73.80126190185547
30,train,zero_terms,,0.7236518236742
30,train,softmax_collapse,,0.7242112159729004
31,train,loss,,6.312569666988566e-08
31,test,loss,,2.106346368789673
31,train,accuracy,,1.0
31,test,accuracy,,0.6896371245384216
31,general,weights_l2,layers.0.weight,145.2403106689453
31,general,weights_l2,layers.1.weight,118.43180084228516
31,general,weights_l2,layers.2.weight,73.82029724121094
31,train,zero_terms,,0.6583128216603267
31,train,softmax_collapse,,0.6625643372535706
32,train,loss,,0.0013730116188526154
32,test,loss,,3.4997336864471436
32,train,accuracy,,0.9997762441635132
32,test,accuracy,,0.5789610743522644
32,general,weights_l2,layers.0.weight,156.35507202148438
32,general,weights_l2,layers.1.weight,120.53823852539062
32,general,weights_l2,layers.2.weight,73.95280456542969
32,train,zero_terms,,0.41496979189975386
32,train,softmax_collapse,,0.414969801902771
33,train,loss,,9.679120012151543e-07
33,test,loss,,2.4145326614379883
33,train,accuracy,,1.0
33,test,accuracy,,0.6679717898368835
33,general,weights_l2,layers.0.weight,156.35435485839844
33,general,weights_l2,layers.1.weight,120.54034423828125
33,general,weights_l2,layers.2.weight,73.95460510253906
33,train,zero_terms,,0.5491161333631684
33,train,softmax_collapse,,0.547214150428772
34,train,loss,,1.825215747430775e-07
34,test,loss,,2.215620756149292
34,train,accuracy,,1.0
34,test,accuracy,,0.6865047812461853
34,general,weights_l2,layers.0.weight,156.3652801513672
34,general,weights_l2,layers.1.weight,120.5421142578125
34,general,weights_l2,layers.2.weight,73.95372772216797
34,train,zero_terms,,0.6420899530096218
34,train,softmax_collapse,,0.6387335062026978
35,train,loss,,8.001078555253116e-08
35,test,loss,,2.1357178688049316
35,train,accuracy,,1.0
35,test,accuracy,,0.6906812787055969
35,general,weights_l2,layers.0.weight,156.51266479492188
35,general,weights_l2,layers.1.weight,120.56199645996094
35,general,weights_l2,layers.2.weight,73.95423889160156
35,train,zero_terms,,0.7060863727903334
35,train,softmax_collapse,,0.7056388854980469
36,train,loss,,6.682014230818822e-08
36,test,loss,,2.2140769958496094
36,train,accuracy,,1.0
36,test,accuracy,,0.687809944152832
36,general,weights_l2,layers.0.weight,158.61036682128906
36,general,weights_l2,layers.1.weight,120.84381103515625
36,general,weights_l2,layers.2.weight,73.97594451904297
36,train,zero_terms,,0.6434325352427837
36,train,softmax_collapse,,0.6472365260124207
37,train,loss,,3.047763584618224e-06
37,test,loss,,2.5131375789642334
37,train,accuracy,,1.0
37,test,accuracy,,0.6606630086898804
37,general,weights_l2,layers.0.weight,163.22958374023438
37,general,weights_l2,layers.1.weight,121.53992462158203
37,general,weights_l2,layers.2.weight,74.02592468261719
37,train,zero_terms,,0.5543745804430521
37,train,softmax_collapse,,0.5548220872879028
38,train,loss,,3.169882631937071e-07
38,test,loss,,2.2584927082061768
38,train,accuracy,,1.0
38,test,accuracy,,0.6849386096000671
38,general,weights_l2,layers.0.weight,163.23291015625
38,general,weights_l2,layers.1.weight,121.54057312011719
38,general,weights_l2,layers.2.weight,74.02593994140625
38,train,zero_terms,,0.6500335645558291
38,train,softmax_collapse,,0.6463415026664734
39,train,loss,,8.070431789519716e-08
39,test,loss,,2.1275739669799805
39,train,accuracy,,1.0
39,test,accuracy,,0.7011224031448364
39,general,weights_l2,layers.0.weight,163.2734832763672
39,general,weights_l2,layers.1.weight,121.54647827148438
39,general,weights_l2,layers.2.weight,74.02629852294922
39,train,zero_terms,,0.7366301185947639
39,train,softmax_collapse,,0.7381964921951294
